,alpha,num_features,features_list
2,E,35,"['reducedSeq_EBJBU', 'reducedSeq_EBUBB', 'reducedSeq_EJBBU', 'E_JJJ', 'E_JJU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_S', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
23,D,50,"['reducedSeq_DBBBJ', 'reducedSeq_DBBJB', 'reducedSeq_DBJBJ', 'reducedSeq_DBUUU', 'reducedSeq_DJBBB', 'reducedSeq_DJJBJ', 'reducedSeq_DUJBU', 'reducedSeq_DUUUJ', 'reducedSeq_DUUUU', 'D_BBB', 'D_BBJ', 'D_BJB', 'D_BJU', 'D_BUJ', 'D_JBB', 'D_JUB', 'D_UBJ', 'D_UJB', 'D_UUU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHC', 'st_HHH', 'st_HBB', 'st_BCC', 'st_BCH', 'st_BBC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_S', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
26,D,35,"['D_BBU', 'D_BUJ', 'D_JBB', 'D_UJB', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBC', 'st_HCC', 'st_HHC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_S', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
87,C,50,"['reducedSeq_CBBBU', 'reducedSeq_CBBUB', 'reducedSeq_CBBUU', 'reducedSeq_CJUBB', 'reducedSeq_CUBUJ', 'reducedSeq_CUJUB', 'reducedSeq_CUJUU', 'reducedSeq_CUUUU', 'C_BBU', 'C_BJJ', 'C_BJU', 'C_BUU', 'C_JBB', 'C_JJB', 'C_JUU', 'C_UBJ', 'C_UBU', 'C_UUJ', 'C_UUU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_A', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_H', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_S', 'pct_T', 'pct_V', 'pct_W', 'pct_Y']"
94,C,35,"['reducedSeq_CBBBU', 'reducedSeq_CBBUU', 'reducedSeq_CUUJU', 'reducedSeq_CUUUU', 'C_BBU', 'C_JBJ', 'C_JUU', 'C_UJJ', 'C_UUU', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CHH', 'st_CBB', 'st_HCC', 'st_HHC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_G', 'pct_I', 'pct_K', 'pct_L', 'pct_M', 'pct_N', 'pct_P', 'pct_Q', 'pct_R', 'pct_T', 'pct_V', 'pct_W']"
81,C,25,"['reducedSeq_CJJJU', 'reducedSeq_CUUUU', 'C_JBB', 'st_CCC', 'st_CCH', 'st_CCB', 'st_CBB', 'st_HCC', 'st_HHH', 'st_BCC', 'st_BBC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_G', 'pct_K', 'pct_L', 'pct_M', 'pct_Q', 'pct_R', 'pct_T', 'pct_V', 'pct_W']"
116,E,15,"['reducedSeq_EBJBU', 'reducedSeq_EBUJJ', 'reducedSeq_EJJBB', 'E_UJU', 'st_CCC', 'st_CCB', 'st_HCC', 'st_HHC', 'st_BBC', 'pct_C', 'pct_D', 'pct_E', 'pct_K', 'pct_M', 'pct_R']"
24,D,15,"['st_CCC', 'st_CCB', 'st_HCC', 'st_HHH', 'st_BCC', 'st_BBB', 'pct_C', 'pct_D', 'pct_E', 'pct_G', 'pct_K', 'pct_L', 'pct_M', 'pct_Q', 'pct_R']"
84,C,15,"['st_CCC', 'st_CCB', 'st_HCC', 'st_HHH', 'st_BCC', 'pct_C', 'pct_D', 'pct_E', 'pct_G', 'pct_K', 'pct_L', 'pct_M', 'pct_Q', 'pct_R', 'pct_T']"
160,A,15,"['reducedSeq_ABUBU', 'reducedSeq_AJUBU', 'reducedSeq_AUBJJ', 'reducedSeq_AUBUU', 'reducedSeq_AUJBJ', 'A_JUU', 'A_UJJ', 'st_HCC', 'st_BCC', 'pct_C', 'pct_D', 'pct_E', 'pct_F', 'pct_K', 'pct_R']"
